course_id,title,description,credits,geneds
CMSC436,Programming Handheld Systems,"<b>Prerequisite:</b> Minimum grade of C- in CMSC330 and CMSC351; or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program.
<b>Restriction:</b> Permission of CMNS-Computer Science department.
Fundamental principles and concepts that underlie the programming of handheld systems, such as mobile phones, personal digital assistants, and tablet computers. Particular emphasis will be placed on concepts such as limited display size, power, memory and CPU speed; and new input modalities, where handheld systems differ substantially from non-handheld systems, and thus require special programming tools and approaches. Students will apply these concepts and principles in the context of an existing handset programming platform.",3,
CMSC424,Database Design,"<b>Prerequisite:</b> Minimum grade of C- in CMSC351 and CMSC330; and permission of CMNS-Computer Science department. Or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program.
Students are introduced to database systems and motivates the database approach as a mechanism for modeling the real world. An in-depth coverage of the relational model, logical database design, query languages, and other database concepts including query optimization, concurrency control; transaction management, and log based crash recovery. Distributed and Web database architectures are also discussed.",3,
CMSC100,Bits and Bytes of Computer and Information Sciences,"<b>Restriction:</b> For first time freshmen and first time transfer students.
<b>Cross-listed with:</b> INST101.
<b>Credit only granted for:</b> CMSC100 or INST101.
Students are introduced to the fields (and disciplines) of computer science and information science within a small classroom setting. They will learn to make a successful transition from high school to the university, while exploring study skills, student success plans and research opportunities.",1,
CMSC858K,Advanced Topics in Theory of Computing; Introduction to Quantum Information Processing,,3,
CMSC216,Introduction to Computer Systems,"<b>Prerequisite:</b> Minimum grade of C- in CMSC132; and minimum grade of C- in MATH141.
<b>Restriction:</b> Must be in a major within the CMNS-Computer Science department; or must be in Engineering: Computer program; or must be in the Computer Science Minor program; and Permission of CMSC - Computer Science department.
Introduction to the interaction between user programs and the operating system/hardware. Major topics include C programming, introductory systems programming, and assembly language. Other concepts covered include UNIX, machine data representation, thread management, optimization, and virtual memory. Programming is done in the Linux Environment.",4,
CMSC330,Organization of Programming Languages,"<b>Prerequisite:</b> Minimum grade of C- in CMSC250 and CMSC216.
<b>Restriction:</b> Must be in a major within the CMNS-Computer Science department; or must be in the Computer Science Minor program; or must be in Engineering: Computer program; and Permission of CMSC - Computer Science department.
A study of programming languages, including their syntax, semantics, and implementation. Several different models of languages are discussed, including dynamic, scripting (e.g., Ruby, Python) functional (e.g., OCaml, Haskell, Scheme), and memory safe systems programming (e.g., Rust). Explores language features such as formal syntax, scoping and binding of variables, higher-order programming, typing, and type polymorphism. Introduces finite automata, context free grammar, parsing, lambda calculus, and basics of security attacks and software security.",3,
CMSC858L,,,,
CMSC417,Computer Networks,"<b>Prerequisite:</b> Minimum grade of C- in CMSC351 and CMSC330; and permission of CMNS-Computer Science department. Or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program.
Computer networks and architectures. The OSI model including discussion and examples of various network layers. A general introduction to existing network protocols. Communication protocol specification, analysis, and testing.",3,
CMSC198C,,,,
CMSC198D,Special Topics in Computer Science for Non-Majors; Paths to Computer Science: Connections,,1,
CMSC198E,Special Topics in Computer Science for Non-Majors; Paths to Computer Science: Problem Solving,,1,
CMSC250,Discrete Structures,"<b>Prerequisite:</b> Minimum grade of C- in CMSC131; and minimum grade of C- in MATH141.
<b>Restriction:</b> Must be in a major within the CMNS-Computer Science department; or must be in Engineering: Computer program; or must be in the Computer Science Minor program; and Permissions of CMSC - Computer Science department.
Fundamental mathematical concepts related to computer science, including finite and infinite sets, relations, functions, and propositional logic. Introduction to other techniques, modeling and solving problems in computer science. Introduction to permutations, combinations, graphs, and trees with selected applications.",4,
